Kanji,Letters,Meaning
赤,あか,red; crimson; scarlet
秋,あき,autumn; fall
飴,あめ,candy
雨,あめ,rain
姉,あね,older sister; elder sister
兄,あに,elder brother; older brother
青,あお,blue; azure
アパート,あぱーと,apartment
朝,あさ,morning
朝ご飯,あさごはん,breakfast
明後日,あさって,day after tomorrow
足,あし,foot; leg; paw; arm
明日,あした,tomorrow
頭,あたま,head
後,あと,behind; after; remainder; left; also
晩ご飯,ばんごはん,dinner; evening meal
番号,ばんごう,number
バス,ばす,bus
バター,ばたー,butter
ベッド,べっど,bed
勉強,べんきょう,to study
ボールペン,ぼーるぺん,ball-point pen
ボタン,ぼたん,button
帽子,ぼうし,hat; cap
文章,ぶんしょう,sentence
豚肉,ぶたにく,pork
病院,びょういん,hospital
病気,びょうき,illness; disease; sickness
茶色,ちゃいろ,brown
茶碗,ちゃわん,rice bowl; tea cup; teacup
父,ちち,father
地下鉄,ちかてつ,subway; underground train
地図,ちず,map
台所,だいどころ,kitchen
大学,だいがく,university; college
出口,でぐち,exit; gateway; way out
電気,でんき,electricity
電車,でんしゃ,train; electric train
電話,でんわ,telephone (call / device)l; phone call
デパート,でぱーと,department store
ドア,どあ,door
どなた,どなた,who
動物,どうぶつ,animal
土曜日,どようび,Saturday
絵,え,picture
ええ,ええ,yes; that is correct; right
映画,えいが,movie; film
映画館,えいがかん,movie theater; cinema
英語,えいご,English language
駅,えき,station
鉛筆,えんぴつ,pencil
エレベーター,えれべーたー,elevator
フィルム,ふぃるむ,film
フォーク,ふぉーく,fork
服,ふく,clothes
二人,ふたり,two people; pair; couple
二つ,ふたつ,two; 2
二日,ふつか,the second day of the month / 2 days
封筒,ふうとう,envelope
冬,ふゆ,winter
外国,がいこく,foreign country
外国人,がいこくじん,foreigner; foreign citizen; foreign national; alien; non-Japanese
学校,がっこう,school
学生,がくせい,student
玄関,げんかん,entrance
元気,げんき,lively; full of spirit; energetic; healthy
月曜日,げつようび,Monday
銀行,ぎんこう,bank
ギター,ぎたー,guitar
五,ご,five; 5
午後,ごご,afternoon; p.m.
ご飯,ごはん,cooked rice, meal
午前,ごぜん,morning; a.m.
グラム,ぐらむ,gram
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,(cow's) milk
歯,は,tooth
八,はち,eight: 8
葉書,はがき,postcard
母,はは,mother
はい,はい,yes; that is correct
灰皿,はいざら,ashtray
箱,はこ,box; crate
半,はん,half; semi-; half-past
花,はな,flower
鼻,はな,nose
話,はなし,talk; speech; chat; conversation
半分,はんぶん,half
ハンカチ,はんかち,handkerchief
晴れ,はれ,clear weather
春,はる,spring; springtime
箸,はし,chopsticks
橋,はし,bridge
二十歳,はたち,20 years old; twenty years old
二十日,はつか,twentieth day of the month / 20 days
辺,へん,area
下手,へた,unskillful; poor; awkward
部屋,へや,room
左,ひだり,left; left hand side
東,ひがし,east
